,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
354,高级数据分析师,https://www.lagou.com/jobs/6263291.html,杨浦区,15k-30k,上海繁简信息科技有限公司,不限,大专,数据管理,职责描述：1.负责和业务沟通，理解业务流程、理解业务数据需求，并能基于对业务数据的分析，挖掘有价值的信息，为业务部门精细化运营提供数据支持和决策支持2.基于对业务的流程理解，规划、建设业务的基本数据指标体系，并实施长期监控3.理解互联网音乐培训行业，主导搭建业务分析模型，负责分析结果的验证和产品效果的持续评估，优化产品体验；4.为业务提供数据分析、数据报表、可视化分析、业务监控等任职要求：1.本科及以上学历，统计学、数学、计算机相关专业优先，5年以上相关经验，有成功分析案例特别是教育行业分析案例者优先；2.熟练使用hive、mysql提数数据，特征预处理；3.熟练使用Excel、Tableau等分析工具，有R或Python编程开发经验者优先；4.有数据挖掘，机器学习等相关基础，熟悉基本算法，有相关项目实际经验者优先；5.敏锐的业务洞察力，能很好地和业务结合发挥数据的价值；6.较强的执行力，有责任心，积极上进，自我驱动。,,,,,,,,,,,,,,,,,,,,
357,BI数据分析师,https://www.lagou.com/jobs/6279989.html,静安区,15k-25k,上海欢兽实业有限公司,3-5年,本科,平台大，空间大，福利好,岗位职责1、 负责业务数据调研、需求理解，数据采集方案设计及实现；2、 快速响应公司内部部门日常报表需求。3、 负责数据模型的ETL编写，参与团队ETL流程的优化及解决ETL相关技术问题；4、 同其他组员一起完成数据团队大数据组件的建设，涵盖数据采集、数据存储、数据处理、数据应用，以及数据仓库；任职要求1. 本科及以上学历，从事数据相关工作，或从事数据化运营相关工作不少于2年；2. 有大数据相关工作经验，熟悉使用Spark sql、hive、Impala、sqoop、hbase、Redis等一种以上大数据组件;熟悉sql 调优。3.熟悉Linux，能够编写基本Shell脚本；4.熟悉常用的的BI工具，有报表及可视化开发经验；5.熟悉数据仓库建设的流程及方法论，有实际的模型设计经验及ETL相关开发经验优先考虑。6.具有高度的责任感，有较好的团队精神，思路清晰,有良好的沟通能力；,,,,,,,,,,,,,,,,,,,
358,数据运营（数据分析）,https://www.lagou.com/jobs/6316603.html,静安区,10k-15k,上海慧住信息科技有限公司,1-3年,本科,数据运营 数据分析 绩效,岗位职责：1、协助所负责业务部门绩效方案的宣导、培训、政策咨询2、负责绩效奖金核算以及人力成本核算，定期监控人力变动情况并统计汇总3、通过数据监控不同阶段员工、城市的产能表现，挖掘现象根源，并协助落实改善4、根据业务要求，跟踪和监控报表的数据表现，为决策、管理等提供数据支持任职要求：1、统计、数学、计算机等相关专业本科以上学历2、具有1-3年相关工作经验3、熟练掌握Excel、VBA，了解Python、SQL，能够实现办公自动化4、核心能力：沟通能力强，逻辑清晰，抗压力强，具有数据敏感性。,,,,,,,,,,,,,,,,,,,,
359,美图商业策略数据分析师,https://www.lagou.com/jobs/6032665.html,静安区,15k-30k,厦门美图之家科技有限公司,3-5年,本科,上市公司 六险一金 核心业务,岗位描述Base美图商业平台内的商业策略中心（上海）。负责策略中心因业务所需的数据挖掘，分析，并能结合商业市场需求，输出数据洞察方案。岗位要求及职责1、有互联网/咨询/金融公司及行业的数据分析至少3年工作经验，对数据敏锐2、有收集同行业商业数据的能力，包括但不限于同行业企业财报分析，竞品商业数据分析，输出可以为本公司商业端使用的方向性见解3、能分析用户画像，可以对美图的用户画像进行再次解读，并配合团队成员输出可以使用在商业端的用户画像解决方案4、能分析商业端销售数据，通过销售数据的分析，对本公司的商业化变现模式提出自己的洞察5、会使用第三方数据平台工具，可以从第三方数据平台上定期输出有针对性的数据洞察报告6、能配合团队成员从数据的角度输出不同行业商业变现解决方案,,,,,,,,,,,,,,,,,,,,
360,大数据研发工程师,https://www.lagou.com/jobs/4178385.html,徐汇区,25k-35k,上海卫莎网络科技有限公司,3-5年,本科,AI,扁平化,弹性工作,交通方便,工作职责：1.\xa0\xa0 参与大数据平台的架构设计与开发。2.\xa0\xa0 基于业务需求和应用场景，设计和实现大数据产品。3.\xa0\xa0 为所有业务线提供数据支持和服务。4.\xa0\xa0 负责技术攻关和创新技术引用，开发具有数据分析、数据挖掘能力的创新型产品。任职要求：1.\xa0 计算机相关专业本科以上学历，3年以上数据仓库及BI项目实施经验。2.\xa0 有基于Hadoop、Hive、HBase、Spark、Storm等大数据技术构建数据分析平台、分布式计算的设计和开发实施经验。3.\xa0 从事过用户行为挖掘分析、用户画像、推荐系统等大数据应用产品开发。4.\xa0 熟悉ETL开发及设计。5. 有机器学习经验者优先。Versa是什么？APP Store的2018最佳APP。Versa可以做什么？一键把你的照片和视频变成艺术品，拯救手机废片的黑科技。掌上PS，0.2秒实现发丝级人物抠像。谁创造了Versa？格瓦拉产品合伙人CEO蔡天懿，华为芯片算法科学家CTO赵维杰共同创立，再加上4000万App的整编团队。谁在支持Versa？各轮次资方分别为：真格、红杉、腾讯。,,,,,,,,,,,,,,,,,
361,大数据开发工程师（ETL）,https://www.lagou.com/jobs/6324100.html,徐汇区,15k-25k,上海只二网络科技有限公司,1-3年,大专,出国游 餐补房补 领导nice,我们需要你：\uf06c\xa0参与只二数据平台的建设，包括数据清洗、整合、统计；\uf06c\xa0负责和业务方的数据对接，完成数据提供，并能从其中发现数据的业务价值；\uf06c\xa0临时数据需求，并对于常用重要需求能转化成数据产品。我们期待你\uf06c\xa0本科或以上学历，具有3年以上大数据的开发经验；\uf06c\xa0精通数据仓库建模，对维度建模和EDW有深入的理解和实践；\uf06c\xa0精通SQL，熟练掌握Hive/Impala/Spark等大数据计算框架,熟悉Python语言；\uf06c\xa0参与前期需求沟通和分析，以产品化开发的思维，完成需求分解和数据模型设计；\xa0\xa0\xa0\xa0\xa0 \uf06c\xa0对自己负责的数据有ownership，能主动发现问题，主动性自驱力强，优秀的沟通及表达能力。这些，会让我们眼前一亮\uf06c\xa0有电商经历/数据分析经验/推荐系统经验加分。,,,,,,,,,,,,,,,,,,,
362,数据开发/挖掘工程师,https://www.lagou.com/jobs/3185404.html,普陀区,20k-30k,人英网络（上海）有限公司,3-5年,本科,不加班,福利多,技术先进,多元文化,关于职位人英网络致力于开发包括网站和手机应用在内的网络社交平台。我们正在寻找与我们Service team契合的数据工程师。我们希望你充满好奇心，心态开放并且能快速学习和自我提升，为浩瀚复杂的用户数据提供优秀的解决方案。Service team的工程师们对公司的发展方向至关重要！你将有机会跨多个团队合作来实现各种奇思妙想，令我们的社区更繁荣。这个团队致力于挖掘隐藏在大量数据中的秘密，来帮助业务部门做出明智的商业决策和更完美的产品。你的工作职责：与数据工程和产品团队合作，提供可靠的数据来源做出数据驱动的决策；主动厘清需求和方向并负责项目；架构、建立核心Dataset；处理、存储和服务tb级数据的高效ETL；完成新的日志结构以支持新的数据分析；将商业需求根据优先级转化为具体项目并实施；将设计理念和具体实施细节的文档化。你将有机会：与数据分析师合作设计大数据看板；与Data Scientist和机器学习工程师合作完成统计模型和机器学习模型，涉及用户价值预测，定价优化，营销，推荐算法，用户行为预测和用户个性化体验等多个问题；定义各个网站的关键指标来指导业务决策，比如参与度、保留度和客户终身周期价值跟踪。理想型候选人：拥有本科以上学历，计算机专业或软件工程专业优先；拥有三年以上互联网行业经验，有技术负责人的经验优先；对算法、web服务和数据管理有较强的理解；具备高级SQL技能，能够编写复杂和高性能的查询和数据管道；熟练掌握数据仓库建模技术，处理数据缺失，数据可视化等；熟练设计高效的ETL工作流；精通Java或Scala，愿意学习其他编程语言；具备Hadoop、Spark、Hive、MPP仓库解决方案等大数据技术经验；熟悉工作流管理框架，如：Airflow或Luigi；独立，自我驱动和优秀的完成工作的能力。加分项：良好的英语能力和人际沟通能力；有处理会话、点击流和AB测试数据的经验；有支持分析团队研究用户行为和产品指标的经验；有使用Superset等可视化工具的经验。作为一家与众不同的互联网公司，我们的特殊技能有：转正后第一年 16 天年假，之后每年多加两天，上限为 24 天；圣诞节额外带薪假期；弹性上班时间，早上 8 点到 10 点任意时间来即可；免费无限量自助餐饮；宽敞安静的办公环境；配备桌球和飞镖等以供休闲；年度公司及部门旅行；每月都有外出活动的机会，形式多样；每周四专人按摩，消除工作疲劳；中英文培训，提高沟通能力；配备藏书丰富的图书馆，帮助自我提升；每年的健康体检；健身费用补贴；全额缴纳五险一金；补充医疗保险。,,,,,,,,,,,,,,,,,
363,数据开发,https://www.lagou.com/jobs/5904235.html,长宁区,25k-50k,北京三快在线科技有限公司,3-5年,本科,平台,职位描述：1.负责大数据产品研发，实现分布式数据采集和大数据分析计算；2.配合数据产品经理完成数据应用开发需求，为运营决策优化提供数据产品支持 。\xa0任职资格：1.掌握hadoop、hive、hbase、Storm、spark、flink一种或者几种平台的开发经验，并对其架构有一定的理解；2.掌握数据仓库、ETL开发相关技术 掌握JAVA、Python或Scala语言之一，对数据结构和算法设计有较为深刻的理解；3.熟悉Linux操作系统，对shell编程有一定了解；4.很强的学习、分析和解决问题能力，良好的团队意识和协作精神，有较强的内外沟通能力。,,,,,,,,,,,,,,,,,,,,
364,02211P-大数据工程师(建模分析方向）,https://www.lagou.com/jobs/5505047.html,浦东新区,10k-18k,中国平安人寿保险股份有限公司,1-3年,本科,五险一金,带薪年假,免费班车,定期体检,工作职责1、 利用数据分析和建模等技术手段为公司业务发展提供支持；2、针对业务问题制定综合解决方案，推动方案落地，不断完善和优化精准营销模型体系；3、 完成较深入的客户画像和业务诊断，并形成分析报告任职要求1、本科及以上学历，数理统计和计算机相关专业；2、2年以上相关工作经验，熟悉常用机器学习算法，熟练掌握R、SAS、Scala、Python等工具中的一种或多种；3、了解海量数据分析，有使用Hive, Spark SQL等进行数据处理的经验；4、较强的跨团队合作和沟通能力；5、熟悉自然语言处理或爬虫技术的优先考虑,,,,,,,,,,,,,,,,
365,数据开发/BI工程师,https://www.lagou.com/jobs/5935342.html,虹口区,17k-30k,威比网络科技（上海）有限公司,5-10年,本科,五险一金，早餐水果，节日福利，优秀团队,岗位职责：1. 数据仓库的建制与维护；2. 数据报表的开发与维护；3. 基于业务需求转化为存储过程的开发；4. 日常业务的提数支持；5. 日常数据分类与需求整理收集，发现问题和机会，提出并总结系统问题，编写数据分析报告，支持市场和业务团队；6. 负责与市场部负责人对接沟通数据问题，并及时提出解决方案；7. 配合项目上线需要(非周期性)与生产环境维运(周期性)需要进行现场或远程轮值。任职要求：1. 计算机相关专业本科及以上学历；2. 4年以上数据仓库项目、报表开发、存储过程开发、ETL开发等工作经验；3. 理解数据模型和数据仓库，有数据仓库建模，ETL等经验；4. 具备较强的数据分析能力，熟悉SSRS、Cognos、Tableau等报表前端展现工具；5. 精通SQL，有较好的SQL调优经验，熟悉MSSQL、mysql等主流数据库存储过程的开发；6. 具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑；7. 工作认真、负责，有良好的团队合作精神，良好的分析能力与沟通技巧,能承受较大的工作压力；8. 对数据敏感，较强的逻辑思维及数据分析能力，有在线教育、互联网行业数据分析经验者优先。加分项目1.丰富的BA经验，从无到有建置自动化系统报表；2.明白数据库结构，与开发人员流利沟通，熟悉程序语言尤佳；3.有效与业务人员解释报表逻辑与报表使用办法；4.曾发现公司报表数据的错误，并主动负责跨部门解决；5.熟悉业务架构与整体营运流程。,,,,,,,,,,,,,,,,,,,
